subject,course_code,type,course_title,weekdays,time,instructors,location
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Hend Alqawasma,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Hend Alqawasma,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Hend Alqawasma,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,R,11:35 am-02:25 pm,Hend Alqawasma,FERR 408
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Nicole Antoinette Mitchell,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Nicole Antoinette Mitchell,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Nicole Antoinette Mitchell,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-12:55 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,01:05 pm-02:25 pm,Nicole Antoinette Mitchell,ARTS 150
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,F,11:35 am-02:25 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,219,Lecture,Anti-Oppression Social Work Practice.,R,11:35 am-02:25 pm,Nicole Antoinette Mitchell,FERR 456
SWRK,222,Lecture,Introduction to Practicum.,M,08:35 am-11:25 am,Corrie Sirota-Frankel,FERR 105
SWRK,222,Lecture,Introduction to Practicum.,M,08:35 am-11:25 am,Corrie Sirota-Frankel,BRONF 423
SWRK,222,Lecture,Introduction to Practicum.,W,08:35 am-11:25 am,Corrie Sirota-Frankel,FERR 105
SWRK,222,Lecture,Introduction to Practicum.,M,08:35 am-11:25 am,Katherine Maurer,SH688 1351
SWRK,222,Lecture,Introduction to Practicum.,M,08:35 am-11:25 am,Katherine Maurer,BRONF 423
SWRK,222,Lecture,Introduction to Practicum.,W,08:35 am-11:25 am,Katherine Maurer,SH688 1351
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Tamara Sussman,SH688 395
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Tamara Sussman,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Tamara Sussman,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Tamara Sussman,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,W,02:35 pm-05:25 pm,Tamara Sussman,SH688 395
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Syndie David,SH688 361
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Syndie David,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Syndie David,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Syndie David,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,W,02:35 pm-05:25 pm,Syndie David,SH688 361
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Jeff Walsh,SH688 495
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Jeff Walsh,EDUC 624
SWRK,326,Lecture,Practice with Individuals and Families 2.,M,02:35 pm-05:25 pm,Jeff Walsh,EDUC 624
